family	sigma_a2	level	reps	converged	nondegenerate	coverage	lower_clamped	upper_clamped	mean_width
poisson	0.25	0.90	15	15	15	0.933	0.067	0.000	0.4116
poisson	0.25	0.95	15	15	15	0.933	0.067	0.000	0.4964
poisson	1.00	0.90	14	14	14	0.714	0.000	0.000	0.7789
poisson	1.00	0.95	14	14	14	0.857	0.000	0.000	0.9382
bernoulli	0.25	0.90	15	15	15	1.000	0.933	0.000	1.0544
bernoulli	0.25	0.95	15	15	15	1.000	1.000	0.000	1.3490
bernoulli	1.00	0.90	15	15	15	0.800	0.667	0.000	1.7430
bernoulli	1.00	0.95	15	15	15	0.867	0.733	0.000	2.2019
binomial	0.25	0.90	15	15	15	0.933	0.000	0.000	0.2187
binomial	0.25	0.95	15	15	15	0.933	0.000	0.000	0.2624
binomial	1.00	0.90	15	15	15	0.933	0.000	0.000	0.5651
binomial	1.00	0.95	15	15	15	1.000	0.000	0.000	0.6774
